"fighter1_odds","fighter2_odds"
"1.63","2.55"
"4.65","1.26"
"1.71","2.35"
"1.56","2.78"
"1.90","2.05"
"1.91","2.04"
"1.41","3.35"
"1.77","2.22"
"2.21","1.83"
"1.95","1.95"
"1.49","3.00"
"3.30","1.43"
"1.59","2.70"
"2.30","1.75"
"1.20","5.81"
"3.75","1.33"
"3.05","1.48"
"2.67","1.59"
"2.60","1.69"
"2.15","1.83"
"2.45","1.71"
"1.74","2.33"
"1.33","4.10"
"1.69","2.35"
"2.35","1.71"
"2.10","1.87"
"1.48","2.90"
"4.15","1.28"
"1.89","2.05"
"1.41","3.25"
"3.34","1.39"
"1.41","3.21"
"1.50","2.90"
"2.45","1.66"
"1.40","3.30"
"2.23","1.76"
"2.48","1.64"
"1.41","3.45"
"1.43","3.25"
"1.41","3.30"
"1.61","2.55"
"1.47","3.10"
"2.08","1.87"
"1.39","3.30"
"2.30","1.95"
"1.35","3.65"
"1.68","2.61"
"1.42","3.34"
"1.67","2.45"
"1.33","4.05"
"1.24","4.69"
"1.14","8.26"
"2.25","1.77"
"1.67","2.45"
"2.05","1.91"
"1.47","3.19"
"1.33","4.05"
"1.22","5.35"
"2.20","1.80"
"1.45","3.50"
"1.30","4.44"
"1.30","4.37"
"1.31","4.35"
"3.25","1.43"
"1.71","2.40"
"2.05","1.87"
"2.75","1.67"
"1.77","2.20"
"1.43","3.34"
"2.65","1.59"
"4.00","1.33"
"2.10","2.00"
"3.40","1.38"
"1.34","3.75"
"1.13","9.26"
"2.60","1.67"
"1.59","2.60"
"1.57","2.65"
"1.30","4.15"
"1.32","3.91"
"2.48","1.63"
"1.44","3.15"
"1.87","2.10"
"2.13","1.81"
"2.74","1.67"
"5.00","1.25"
"1.38","3.50"
"1.61","2.75"
"1.38","3.60"
"1.95","2.00"
"1.33","3.80"
"1.45","3.06"
"1.37","3.65"
"2.45","1.65"
"1.67","2.50"
"2.85","1.50"
"1.61","2.60"
"2.20","1.77"
"1.95","2.00"
"2.05","1.95"
"5.00","1.25"
"1.41","3.30"
"1.91","2.08"
"5.35","1.22"
"1.55","2.75"
"1.76","2.30"
"1.87","2.07"
"2.05","1.95"
"3.20","1.42"
"2.15","1.87"
"2.35","1.69"
"2.40","1.69"
"1.74","2.30"
"1.31","4.00"
"1.59","2.65"
"1.91","2.08"
"1.71","2.37"
"1.34","4.15"
"1.83","2.10"
"1.89","2.10"
"2.40","1.68"
"1.54","2.73"
"2.85","1.53"
"1.61","2.65"
"8.50","1.12"
"1.94","2.05"
"2.55","1.61"
"2.90","1.49"
"2.45","1.67"
"2.20","1.80"
"1.20","5.60"
"2.80","1.51"
"1.80","2.25"
"1.18","6.18"
"1.26","4.55"
"1.63","2.55"
"1.35","3.75"
"2.15","1.83"
"1.47","2.95"
"1.29","4.25"
"1.54","2.70"
"1.57","2.65"
"2.65","1.62"
"1.78","2.18"
"1.29","4.48"
"1.49","3.00"
"1.53","2.90"
"1.61","2.55"
"1.29","4.35"
"1.50","2.90"
"1.40","3.45"
"1.57","2.75"
"3.65","1.36"
"2.35","1.76"
"2.50","1.64"
"1.20","6.25"
"3.33","1.40"
"2.25","1.77"
"1.67","2.50"
"1.37","3.85"
"1.10","14.05"
"2.40","1.69"
"1.21","5.80"
"1.34","3.95"
"4.00","1.31"
"3.05","1.46"
"1.69","2.40"
"1.43","3.20"
"5.00","1.25"
"2.45","1.65"
"1.59","2.60"
"1.67","2.50"
"2.10","1.91"
"1.83","2.15"
"2.00","2.00"
"3.65","1.35"
