"NAME","Weight","WeightClass","REACH","SLPM","SAPM","STRA","STRD","TD","TDA","TDD","SUBA"
"Marcin Bandel",155,"lightweight",72,0.79,5.26,0.5,0.23,0,0,0,0
"Humberto Bandenay",145,"featherweight",71,2.22,4.79,0.41,0.41,2.9,0.46,0.62,0.5
"Tae Hyun Bang",155,"lightweight",71,2.72,2.07,0.38,0.66,0.49,0.33,0.57,0.5
"Antonio Banuelos",135,"bantamweight",63,2.69,3.15,0.33,0.58,1.62,0.62,0.86,0.4
"Renan Barao",145,"featherweight",70,3.78,3.9,0.36,0.57,1.49,0.41,0.91,0.5
"Junior Barata",170,"welterweight",73,4.03,8.46,0.33,0.34,0,0,0,0
"Maycee Barber",125,"flyweight",65,5.21,3,0.52,0.5,1.44,0.4,0.8,0.2
"Bryan Barberena",170,"welterweight",72,5.48,4.7,0.48,0.45,0.23,0.28,0.6,0.5
"Edson Barboza",145,"featherweight",75,3.98,4.03,0.43,0.6,0.44,0.44,0.78,0.1
"Raoni Barcelos",135,"bantamweight",67,5.59,4.17,0.52,0.67,2.23,0.56,0.85,0.7
"Luke Barnatt",185,"middleweight",77,4.43,3.87,0.36,0.59,0.63,0.42,0.63,0.4
"James Barnes",145,"featherweight",70,0,0,0,0,0,0,0,0
"Nick Barnes",170,"welterweight",73,2.86,8.93,0.29,0.51,5.36,1,1,5.4
"Josh Barnett",250,"heavyweight",78,3.2,2.11,0.5,0.57,1.26,0.55,0.55,1.4
"David Baron",155,"lightweight",72,1.17,2.1,0.3,0.56,0,0,0.14,0.7
"Phil Baroni",170,"welterweight",72,2.77,3.93,0.45,0.4,1.46,0.47,0.6,0.5
"Dan Barrera",170,"welterweight",73,0.8,1.2,0.7,0.28,1,0.08,0,0
"Carlos Barreto",230,"heavyweight",77,0,0,0,0,0,0,0,0
"Jose Barreto",185,"middleweight",75,0,0,0,0,0,0,0,0
"Peter Barrett",145,"featherweight",73,4.18,4.32,0.61,0.42,1.39,0.22,0.66,0
"Marc-Andre Barriault",185,"middleweight",74,4.25,4.12,0.46,0.57,0.55,0.28,0.69,0
"David Barrios",145,"featherweight",70,0,0,0,0,0,0,0,0
